year,month,Australia,Canada,France,Germany,India,Indonesia,Japan,Macau SAR,Mainland,Malaysia,Netherlands,Philippines,Russia,Singapore,South Korea,Taiwan,Thailand,United Kingdom,USA,Vietnam,Middle East
2025,3,38869,37963,14263,23968,35302,36912,88118,87661,2749719,42325,7309,102053,14641,49639,90102,112569,59170,39271,93957,4190,6688
2025,4,46330,29142,15888,28267,49301,42719,42252,92514,2813526,35632,8907,113306,15240,33802,62155,124218,54727,33735,84296,5682,9026
2025,5,29282,27645,12497,11991,44024,30375,56327,96012,3123593,33926,6211,130197,12147,34215,73233,123435,47917,24102,71839,10890,5644
2025,6,27098,20391,9321,9212,37525,32009,43462,85369,2611276,29356,4092,122548,8113,43368,52364,125246,33635,18596,96384,5377,6471
2025,7,28875,27440,12929,9689,26505,26762,46721,111912,3510343,20987,8020,94753,8220,26106,50770,140392,40934,23485,95946,5125,6913
2025,8,20936,28496,15549,12356,29692,19489,76299,141976,4223347,23090,9020,93945,9057,24197,55884,148511,35041,22955,73640,6827,8624
2025,9,37156,23305,10787,13529,39005,25081,65928,73210,2458439,37435,5273,88153,8916,31949,49789,128829,28025,20976,58568,3779,7551
2025,10,47326,36581,19761,20978,41613,25434,63101,93584,3452168,38061,9637,111327,19762,40029,91979,157831,55211,34561,95093,5266,9772
2025,11,44370,41350,19803,21108,34697,27789,75336,92370,3041327,43802,9466,125683,19806,53168,96160,127113,47577,36311,105899,4643,10650
2025,12,67795,38762,16828,17420,39330,44515,65821,122584,3354406,63651,7796,155230,20707,73718,92918,132498,70445,31354,107467,5893,9933
2026,1,70658,31541,15961,18976,30611,37152,57868,92282,3645646,45165,6723,126755,27697,43736,129083,135401,54571,30305,85950,4023,9673
2026,2,28212,28034,13477,16083,18475,21804,43397,99148,4248174,21081,5523,95542,14571,21675,96260,150588,33979,27717,74302,5213,5000
2026,3,44130,46834,15764,28088,33986,40448,86853,91393,3186639,48021,8110,106370,24067,44371,82425,133497,75784,42574,104430,5373,5290
2026,4,54800,40442,20147,28291,41010,26541,47671,90226,3104167,31372,10417,117702,23932,32376,64530,137869,61791,40432,100168,5600,7913
2026,5,35346,33946,15994,14665,45197,28522,60217,93241,3485728,34602,8022,113907,20047,35442,58539,118724,47340,28304,81746,4411,8001
2026,6,33704,23284,10901,10384,37849,28456,40136,81357,2884732,25702,4351,89101,15656,40244,31791,122684,30888,22403,105932,4891,6390
